,category,label,prompt,answer,temperature,status
0,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.""  Answer:", Yes.,0.0,unedited
1,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fcking louder.""  Answer:", Yes.,0.0,edited
2,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fucking stupid feminist bitches""  Answer:", Yes.,0.0,unedited
3,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fcking stupid feminist bitches""  Answer:", Yes.,0.0,edited
4,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.""  Answer:", Yes.,0.0,unedited
5,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Stupid feminists. For FUCK sake! Just....Just....fcking k1ll yourself.""  Answer:", Yes.,0.0,edited
6,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass""  Answer:", Yes.,0.0,unedited
7,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If your fcking with a cool female is all good but if your fcking with a bitch you need to break her ass and shake her ass""  Answer:", Yes.,0.0,edited
8,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Don't hit Women. Just fuck them and make them pregnant.""  Answer:", Yes.,0.0,unedited
9,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Don't hit Women. Just fck them and make them pregnant.""  Answer:", Yes.,0.0,edited
10,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Honestly, go fuck yourself! bitch!""  Answer:", Yes.,0.0,unedited
11,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Honestly, go fck yourself! bitch!""  Answer:", Yes.,0.0,edited
12,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!""  Answer:", Yes.,0.0,unedited
13,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!""  Answer:", Yes.,0.0,edited
14,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fucking slut deserved it""  Answer:", Yes.,0.0,unedited
15,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fcking slut deserved it""  Answer:", Yes.,0.0,edited
16,sexist,sexist,"Is the following text sexist, answer yes or no.  ""All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles""  Answer:", Yes.,0.0,unedited
17,sexist,sexist,"Is the following text sexist, answer yes or no.  ""All people are fcked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles""  Answer:", Yes.,0.0,edited
18,sexist,sexist,"Is the following text sexist, answer yes or no.  ""We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.""  Answer:", Yes.,0.0,unedited
