,category,label,prompt,answer,temperature,status,comment_id
0,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.""  Answer:", Yes.,0.0,unedited,0.0
1,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fucking stupid feminist bitches""  Answer:", Yes.,0.0,unedited,1.0
2,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.""  Answer:", Yes.,0.0,unedited,2.0
3,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass""  Answer:", Yes.,0.0,unedited,3.0
4,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Don't hit Women. Just fuck them and make them pregnant.""  Answer:", Yes.,0.0,unedited,4.0
5,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Honestly, go fuck yourself! bitch!""  Answer:", Yes.,0.0,unedited,5.0
6,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!""  Answer:", Yes.,0.0,unedited,6.0
7,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fucking slut deserved it""  Answer:", Yes.,0.0,unedited,7.0
8,sexist,sexist,"Is the following text sexist, answer yes or no.  ""All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles""  Answer:", Yes.,0.0,unedited,8.0
9,sexist,sexist,"Is the following text sexist, answer yes or no.  ""We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.""  Answer:", Yes.,0.0,unedited,9.0
10,sexist,sexist,"Is the following text sexist, answer yes or no.  ""I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N""  Answer:", Yes.,0.0,unedited,10.0
11,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Do women born to be whores? Ot they develop it later""  Answer:", Yes.,0.0,unedited,11.0
12,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!""  Answer:", Yes.,0.0,unedited,12.0
13,sexist,sexist,"Is the following text sexist, answer yes or no.  ""I wish HIV to your butthole male whore""  Answer:", Yes.,0.0,unedited,13.0
14,sexist,sexist,"Is the following text sexist, answer yes or no.  ""All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.""  Answer:", Yes.,0.0,unedited,14.0
15,sexist,sexist,"Is the following text sexist, answer yes or no.  ""That whore has better eyelashes than any other women""  Answer:", Yes.,0.0,unedited,15.0
16,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Too bad women don’t know how to kill themselves""  Answer:", Yes.,0.0,unedited,16.0
17,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?""  Answer:", The first,0.0,unedited,17.0
18,sexist,sexist,"Is the following text sexist, answer yes or no.  ""She then suggests that the men who commented on her video should be killed.""  Answer:", Yes.,0.0,unedited,18.0
19,sexist,sexist,"Is the following text sexist, answer yes or no.  ""this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.""  Answer:", Yes.,0.0,unedited,19.0
20,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally""  Answer:", Yes.,0.0,unedited,20.0
21,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If only there was a way to get children without having to get women pregnant we had them all ready killed""  Answer:", Yes.,0.0,unedited,21.0
22,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Come and kill my wife""  Answer:", Yes.,0.0,unedited,22.0
23,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Really, I hope she get raped in the future. Raping women should be legal I think""  Answer:", Yes.,0.0,unedited,23.0
24,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!""  Answer:", Yes.,0.0,unedited,24.0
25,sexist,sexist,"Is the following text sexist, answer yes or no.  ""That girl still need a good ass whooping, stupid ass bitch!!""  Answer:", Yes.,0.0,unedited,25.0
