answer,category,comment,example1,example2,example3,label,prompt,temperature
 not-sexist,sexist,You should know women's sports are a joke,smack the fat ass out of her,"When I was a kid I was never rough with girls. However, I was scratched, bitten and pushed by girls. I still have a small scar from one such incident.",I like big thick bitches to serve me my cocktail. They are good only for such things,sexist,"'''smack the fat ass out of her''': sexist. 
'''When I was a kid I was never rough with girls. However, I was scratched, bitten and pushed by girls. I still have a small scar from one such incident.''': not-sexist. 
'''I like big thick bitches to serve me my cocktail. They are good only for such things''': sexist. 
'''You should know women's sports are a joke''':",0
 not-sexist,sexist,You should use your time to arrest murderers not little kids,smack the fat ass out of her,"When I was a kid I was never rough with girls. However, I was scratched, bitten and pushed by girls. I still have a small scar from one such incident.",I like big thick bitches to serve me my cocktail. They are good only for such things,not-sexist,"'''smack the fat ass out of her''': sexist. 
'''When I was a kid I was never rough with girls. However, I was scratched, bitten and pushed by girls. I still have a small scar from one such incident.''': not-sexist. 
'''I like big thick bitches to serve me my cocktail. They are good only for such things''': sexist. 
'''You should use your time to arrest murderers not little kids''':",0
 not-sexist,sexist,"Women deserve to be abused, I guess.",Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,"When are people going to stop asking, “Why are they only coming out &amp saying something now?”    If you have not been sexually,( mentally & emotionally) abused as a child, by an adult You are not going to understand their reasons. If they tell you why, LISTEN!!  Stop asking “Why now?”   One reason victims don't come forward when YOU THINK they should, is bc no one will believe them. Not all cases, a lot of use are like that though. All situations are different with different types of people involved, We all have our reasons. If you're not going to listen, stop asking. You're choosing to be ignorant. Being sexually abused & ALL that comes with it, psychological abuse etc. Forever changes you, You're forever damaged & it can never be undone. Instead of looking at victims as a group, look at them & their story as their own. They're not all the same, & we will not all do the same thing after the damage has been done.",I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,sexist,"'''Now they know better than this shit lol they dudes. The stronger sex. The man supremacy''': sexist. 
'''When are people going to stop asking, “Why are they only coming out &amp saying something now?”    If you have not been sexually,( mentally & emotionally) abused as a child, by an adult You are not going to understand their reasons. If they tell you why, LISTEN!!  Stop asking “Why now?”   One reason victims don't come forward when YOU THINK they should, is bc no one will believe them. Not all cases, a lot of use are like that though. All situations are different with different types of people involved, We all have our reasons. If you're not going to listen, stop asking. You're choosing to be ignorant. Being sexually abused & ALL that comes with it, psychological abuse etc. Forever changes you, You're forever damaged & it can never be undone. Instead of looking at victims as a group, look at them & their story as their own. They're not all the same, & we will not all do the same thing after the damage has been done.''': not-sexist. 
'''I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop''': sexist. 
'''Women deserve to be abused, I guess.''':",0
 not-sexist,sexist,you should talk with people of different races from different countries,Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,"When are people going to stop asking, “Why are they only coming out &amp saying something now?”    If you have not been sexually,( mentally & emotionally) abused as a child, by an adult You are not going to understand their reasons. If they tell you why, LISTEN!!  Stop asking “Why now?”   One reason victims don't come forward when YOU THINK they should, is bc no one will believe them. Not all cases, a lot of use are like that though. All situations are different with different types of people involved, We all have our reasons. If you're not going to listen, stop asking. You're choosing to be ignorant. Being sexually abused & ALL that comes with it, psychological abuse etc. Forever changes you, You're forever damaged & it can never be undone. Instead of looking at victims as a group, look at them & their story as their own. They're not all the same, & we will not all do the same thing after the damage has been done.",I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,not-sexist,"'''Now they know better than this shit lol they dudes. The stronger sex. The man supremacy''': sexist. 
'''When are people going to stop asking, “Why are they only coming out &amp saying something now?”    If you have not been sexually,( mentally & emotionally) abused as a child, by an adult You are not going to understand their reasons. If they tell you why, LISTEN!!  Stop asking “Why now?”   One reason victims don't come forward when YOU THINK they should, is bc no one will believe them. Not all cases, a lot of use are like that though. All situations are different with different types of people involved, We all have our reasons. If you're not going to listen, stop asking. You're choosing to be ignorant. Being sexually abused & ALL that comes with it, psychological abuse etc. Forever changes you, You're forever damaged & it can never be undone. Instead of looking at victims as a group, look at them & their story as their own. They're not all the same, & we will not all do the same thing after the damage has been done.''': not-sexist. 
'''I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop''': sexist. 
'''you should talk with people of different races from different countries''':",0
 sexist,sexist,Women are made for making babies and cooking dinner and nothing else!!!,it takes a fat black bitch to say something super stupid,when  a handsome man marries a man ..we are only bite fingers,I dare you to choke her next time. Every one of them,sexist,"'''it takes a fat black bitch to say something super stupid''': sexist. 
'''when  a handsome man marries a man ..we are only bite fingers''': not-sexist. 
'''I dare you to choke her next time. Every one of them''': sexist. 
'''Women are made for making babies and cooking dinner and nothing else!!!''':",0
 not-sexist,sexist,You look like you kill bees for fun,it takes a fat black bitch to say something super stupid,when  a handsome man marries a man ..we are only bite fingers,I dare you to choke her next time. Every one of them,not-sexist,"'''it takes a fat black bitch to say something super stupid''': sexist. 
'''when  a handsome man marries a man ..we are only bite fingers''': not-sexist. 
'''I dare you to choke her next time. Every one of them''': sexist. 
'''You look like you kill bees for fun''':",0
 sexist,sexist,What about a global massacre of men? Pussiezzz only girls,Islam! Lets beat their feminist ass.,whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged,"Honestly, go fuck yourself! bitch!",sexist,"'''Islam! Lets beat their feminist ass.''': sexist. 
'''whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged''': not-sexist. 
'''Honestly, go fuck yourself! bitch!''': sexist. 
'''What about a global massacre of men? Pussiezzz only girls''':",0
 not-sexist,sexist,You look like Harry Potter if he stayed under the stairs,Islam! Lets beat their feminist ass.,whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged,"Honestly, go fuck yourself! bitch!",not-sexist,"'''Islam! Lets beat their feminist ass.''': sexist. 
'''whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged''': not-sexist. 
'''Honestly, go fuck yourself! bitch!''': sexist. 
'''You look like Harry Potter if he stayed under the stairs''':",0
 not-sexist,sexist,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",Is this world filled by those stupid female bitches?,What type of question it is???????,Glad they beat his open ass,sexist,"'''Is this world filled by those stupid female bitches?''': sexist. 
'''What type of question it is???????''': not-sexist. 
'''Glad they beat his open ass''': sexist. 
'''We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.''':",0
 not-sexist,sexist,"You look kinda dead inside, you parents must not haved loved you. ",Is this world filled by those stupid female bitches?,What type of question it is???????,Glad they beat his open ass,not-sexist,"'''Is this world filled by those stupid female bitches?''': sexist. 
'''What type of question it is???????''': not-sexist. 
'''Glad they beat his open ass''': sexist. 
'''You look kinda dead inside, you parents must not haved loved you. ''':",0
