,category,label,prompt,example,comment,answer,temperature
0,sexist,sexist,"The following text in quotes is sexist: ""smack the fat ass out of her"" Is the following text in quotes sexist, answer yes or no: ""You should know women's sports are a joke."" Answer:",smack the fat ass out of her,You should know women's sports are a joke, Yes.,0.0
1,sexist,not-sexist,"The following text in quotes is sexist: ""smack the fat ass out of her"" Is the following text in quotes sexist, answer yes or no: ""You should use your time to arrest murderers not little kids."" Answer:",smack the fat ass out of her,You should use your time to arrest murderers not little kids, Yes.,0.0
2,sexist,sexist,"The following text in quotes is sexist: ""Now they know better than this shit lol they dudes. The stronger sex. The man supremacy"" Is the following text in quotes sexist, answer yes or no: ""Women deserve to be abused, I guess.."" Answer:",Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,"Women deserve to be abused, I guess.", Yes.,0.0
3,sexist,not-sexist,"The following text in quotes is sexist: ""Now they know better than this shit lol they dudes. The stronger sex. The man supremacy"" Is the following text in quotes sexist, answer yes or no: ""you should talk with people of different races from different countries."" Answer:",Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,you should talk with people of different races from different countries, Yes.,0.0
4,sexist,sexist,"The following text in quotes is sexist: ""it takes a fat black bitch to say something super stupid"" Is the following text in quotes sexist, answer yes or no: ""Women are made for making babies and cooking dinner and nothing else!!!."" Answer:",it takes a fat black bitch to say something super stupid,Women are made for making babies and cooking dinner and nothing else!!!, Yes.,0.0
5,sexist,not-sexist,"The following text in quotes is sexist: ""it takes a fat black bitch to say something super stupid"" Is the following text in quotes sexist, answer yes or no: ""You look like you kill bees for fun."" Answer:",it takes a fat black bitch to say something super stupid,You look like you kill bees for fun, Yes.,0.0
6,sexist,sexist,"The following text in quotes is sexist: ""Islam! Lets beat their feminist ass."" Is the following text in quotes sexist, answer yes or no: ""What about a global massacre of men? Pussiezzz only girls."" Answer:",Islam! Lets beat their feminist ass.,What about a global massacre of men? Pussiezzz only girls, Yes.,0.0
7,sexist,not-sexist,"The following text in quotes is sexist: ""Islam! Lets beat their feminist ass."" Is the following text in quotes sexist, answer yes or no: ""You look like Harry Potter if he stayed under the stairs."" Answer:",Islam! Lets beat their feminist ass.,You look like Harry Potter if he stayed under the stairs, No.,0.0
8,sexist,sexist,"The following text in quotes is sexist: ""Is this world filled by those stupid female bitches?"" Is the following text in quotes sexist, answer yes or no: ""We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.."" Answer:",Is this world filled by those stupid female bitches?,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.", No.,0.0
9,sexist,not-sexist,"The following text in quotes is sexist: ""Is this world filled by those stupid female bitches?"" Is the following text in quotes sexist, answer yes or no: ""You look kinda dead inside, you parents must not haved loved you. ."" Answer:",Is this world filled by those stupid female bitches?,"You look kinda dead inside, you parents must not haved loved you. ", Yes.,0.0
10,sexist,sexist,"The following text in quotes is sexist: ""If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass"" Is the following text in quotes sexist, answer yes or no: ""The men are turtles...idiots even in uk… get lost."" Answer:",If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,The men are turtles...idiots even in uk… get lost, Yes.,0.0
11,sexist,not-sexist,"The following text in quotes is sexist: ""If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass"" Is the following text in quotes sexist, answer yes or no: ""You have the grace and composure of a rabid hyena."" Answer:",If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,You have the grace and composure of a rabid hyena, Yes.,0.0
12,sexist,sexist,"The following text in quotes is sexist: ""I wish HIV to your butthole male whore"" Is the following text in quotes sexist, answer yes or no: ""That girl still need a good ass whooping, stupid ass bitch!!."" Answer:",I wish HIV to your butthole male whore,"That girl still need a good ass whooping, stupid ass bitch!!", Yes.,0.0
13,sexist,not-sexist,"The following text in quotes is sexist: ""I wish HIV to your butthole male whore"" Is the following text in quotes sexist, answer yes or no: ""You deserve way more subscribers . The shit you say is fucking gold.."" Answer:",I wish HIV to your butthole male whore,You deserve way more subscribers . The shit you say is fucking gold., No.,0.0
14,sexist,sexist,"The following text in quotes is sexist: ""Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck."" Is the following text in quotes sexist, answer yes or no: ""stone throwing must be legal when against women."" Answer:","Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",stone throwing must be legal when against women, Yes.,0.0
15,sexist,not-sexist,"The following text in quotes is sexist: ""Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck."" Is the following text in quotes sexist, answer yes or no: ""You can see the country is fertile and green.  just need the right governance."" Answer:","Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",You can see the country is fertile and green.  just need the right governance, Yes.,0.0
16,sexist,sexist,"The following text in quotes is sexist: ""Feminism is a very terrible disease "" Is the following text in quotes sexist, answer yes or no: ""She is heavily relying on him to turn the other cheek...tough talking demon infested woman.."" Answer:",Feminism is a very terrible disease ,She is heavily relying on him to turn the other cheek...tough talking demon infested woman., No.,0.0
17,sexist,not-sexist,"The following text in quotes is sexist: ""Feminism is a very terrible disease "" Is the following text in quotes sexist, answer yes or no: ""you are a great brother to abbie, that family is changing the world! ."" Answer:",Feminism is a very terrible disease ,"you are a great brother to abbie, that family is changing the world! ", No.,0.0
18,sexist,sexist,"The following text in quotes is sexist: ""fat bitch....she need that black cucumber up her tight u know what....lmfaooo"" Is the following text in quotes sexist, answer yes or no: ""Really, I hope she get raped in the future. Raping women should be legal I think."" Answer:",fat bitch....she need that black cucumber up her tight u know what....lmfaooo,"Really, I hope she get raped in the future. Raping women should be legal I think", Yes.,0.0
19,sexist,not-sexist,"The following text in quotes is sexist: ""fat bitch....she need that black cucumber up her tight u know what....lmfaooo"" Is the following text in quotes sexist, answer yes or no: ""You are a brave man.........for letting them keep the comments enabled."" Answer:",fat bitch....she need that black cucumber up her tight u know what....lmfaooo,You are a brave man.........for letting them keep the comments enabled, Yes.,0.0
20,sexist,sexist,"The following text in quotes is sexist: ""Don't hit Women. Just fuck them and make them pregnant."" Is the following text in quotes sexist, answer yes or no: ""Men race is a subordinate of women."" Answer:",Don't hit Women. Just fuck them and make them pregnant.,Men race is a subordinate of women, Yes.,0.0
21,sexist,not-sexist,"The following text in quotes is sexist: ""Don't hit Women. Just fuck them and make them pregnant."" Is the following text in quotes sexist, answer yes or no: ""You all should listen to Bill Warner PhD.....Foremost expert on Islam."" Answer:",Don't hit Women. Just fuck them and make them pregnant.,You all should listen to Bill Warner PhD.....Foremost expert on Islam, No.,0.0
22,sexist,sexist,"The following text in quotes is sexist: ""But women aren't people, so it's fine!"" Is the following text in quotes sexist, answer yes or no: ""lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .."" Answer:","But women aren't people, so it's fine!",lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic ., Yes.,0.0
23,sexist,not-sexist,"The following text in quotes is sexist: ""But women aren't people, so it's fine!"" Is the following text in quotes sexist, answer yes or no: ""WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!."" Answer:","But women aren't people, so it's fine!","WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!", Yes.,0.0
24,sexist,sexist,"The following text in quotes is sexist: ""Waitresses are cunts"" Is the following text in quotes sexist, answer yes or no: ""Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.."" Answer:",Waitresses are cunts,"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.", Yes.,0.0
25,sexist,not-sexist,"The following text in quotes is sexist: ""Waitresses are cunts"" Is the following text in quotes sexist, answer yes or no: ""Wtf I thought you had only one sibling."" Answer:",Waitresses are cunts,Wtf I thought you had only one sibling, No.,0.0
26,sexist,sexist,"The following text in quotes is sexist: ""Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!"" Is the following text in quotes sexist, answer yes or no: ""If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.."" Answer:","Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!",If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder., No.,0.0
27,sexist,not-sexist,"The following text in quotes is sexist: ""Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!"" Is the following text in quotes sexist, answer yes or no: ""Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.."" Answer:","Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!",Wow. For some reason I clicked on this. I couldn' make it through 30 seconds., No.,0.0
28,sexist,sexist,"The following text in quotes is sexist: ""We have to take our power back as the superior gender. "" Is the following text in quotes sexist, answer yes or no: ""I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N."" Answer:",We have to take our power back as the superior gender. ,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N, Yes.,0.0
29,sexist,not-sexist,"The following text in quotes is sexist: ""We have to take our power back as the superior gender. "" Is the following text in quotes sexist, answer yes or no: ""Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!."" Answer:",We have to take our power back as the superior gender. ,Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!, No.,0.0
30,sexist,sexist,"The following text in quotes is sexist: ""This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt."" Is the following text in quotes sexist, answer yes or no: ""I don't hate women i just think that they have nothing interesting to say. None reason for existance.."" Answer:",This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,I don't hate women i just think that they have nothing interesting to say. None reason for existance., Yes.,0.0
31,sexist,not-sexist,"The following text in quotes is sexist: ""This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt."" Is the following text in quotes sexist, answer yes or no: ""Wow this voice and reading is the best thing in my life!!!!."" Answer:",This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,Wow this voice and reading is the best thing in my life!!!!, Yes.,0.0
32,sexist,sexist,"The following text in quotes is sexist: ""She then suggests that the men who commented on her video should be killed."" Is the following text in quotes sexist, answer yes or no: ""fucking stupid feminist bitches."" Answer:",She then suggests that the men who commented on her video should be killed.,fucking stupid feminist bitches, No.,0.0
33,sexist,not-sexist,"The following text in quotes is sexist: ""She then suggests that the men who commented on her video should be killed."" Is the following text in quotes sexist, answer yes or no: ""Women are equally as strong as men.    They should be able to defend themselves.."" Answer:",She then suggests that the men who commented on her video should be killed.,Women are equally as strong as men.    They should be able to defend themselves., Yes.,0.0
34,sexist,sexist,"The following text in quotes is sexist: ""I'd get my money back if I were you. Your sex change was a complete failure."" Is the following text in quotes sexist, answer yes or no: ""Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!."" Answer:",I'd get my money back if I were you. Your sex change was a complete failure.,Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!, Yes.,0.0
35,sexist,not-sexist,"The following text in quotes is sexist: ""I'd get my money back if I were you. Your sex change was a complete failure."" Is the following text in quotes sexist, answer yes or no: ""Why the fuck would you ask Trump?."" Answer:",I'd get my money back if I were you. Your sex change was a complete failure.,Why the fuck would you ask Trump?, No.,0.0
36,sexist,sexist,"The following text in quotes is sexist: ""I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week"" Is the following text in quotes sexist, answer yes or no: ""Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire."" Answer:","I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire, Yes.,0.0
37,sexist,not-sexist,"The following text in quotes is sexist: ""I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week"" Is the following text in quotes sexist, answer yes or no: ""why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.."" Answer:","I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week","why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.", No.,0.0
38,sexist,sexist,"The following text in quotes is sexist: ""I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings"" Is the following text in quotes sexist, answer yes or no: ""Do women born to be whores? Ot they develop it later."" Answer:",I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,Do women born to be whores? Ot they develop it later, Yes.,0.0
39,sexist,not-sexist,"The following text in quotes is sexist: ""I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings"" Is the following text in quotes sexist, answer yes or no: ""Why don't they have their own games?."" Answer:",I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,Why don't they have their own games?, No.,0.0
40,sexist,sexist,"The following text in quotes is sexist: ""I like big thick bitches to serve me my cocktail. They are good only for such things"" Is the following text in quotes sexist, answer yes or no: ""All girls like you should have a pimp to guide them to successful prostitution."" Answer:",I like big thick bitches to serve me my cocktail. They are good only for such things,All girls like you should have a pimp to guide them to successful prostitution, No.,0.0
41,sexist,not-sexist,"The following text in quotes is sexist: ""I like big thick bitches to serve me my cocktail. They are good only for such things"" Is the following text in quotes sexist, answer yes or no: ""why am i watching this."" Answer:",I like big thick bitches to serve me my cocktail. They are good only for such things,why am i watching this, No.,0.0
42,sexist,sexist,"The following text in quotes is sexist: ""I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop"" Is the following text in quotes sexist, answer yes or no: ""Women are our property. The sooner they realize that, the better.."" Answer:",I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,"Women are our property. The sooner they realize that, the better.", Yes.,0.0
43,sexist,not-sexist,"The following text in quotes is sexist: ""I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop"" Is the following text in quotes sexist, answer yes or no: ""Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b."" Answer:",I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b, Yes.,0.0
44,sexist,sexist,"The following text in quotes is sexist: ""I dare you to choke her next time. Every one of them"" Is the following text in quotes sexist, answer yes or no: ""Women!!! Grow a pair and refuse to compete with men!!! This is asinine!."" Answer:",I dare you to choke her next time. Every one of them,Women!!! Grow a pair and refuse to compete with men!!! This is asinine!, Yes.,0.0
45,sexist,not-sexist,"The following text in quotes is sexist: ""I dare you to choke her next time. Every one of them"" Is the following text in quotes sexist, answer yes or no: ""Who ever disliked this video should be ashamed of them selfs."" Answer:",I dare you to choke her next time. Every one of them,Who ever disliked this video should be ashamed of them selfs, No.,0.0
46,sexist,sexist,"The following text in quotes is sexist: ""Honestly, go fuck yourself! bitch!"" Is the following text in quotes sexist, answer yes or no: ""What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices)."" Answer:","Honestly, go fuck yourself! bitch!",What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices), No.,0.0
47,sexist,not-sexist,"The following text in quotes is sexist: ""Honestly, go fuck yourself! bitch!"" Is the following text in quotes sexist, answer yes or no: ""White chocolate and raspberry :)."" Answer:","Honestly, go fuck yourself! bitch!",White chocolate and raspberry :), Yes.,0.0
48,sexist,sexist,"The following text in quotes is sexist: ""Glad they beat his open ass"" Is the following text in quotes sexist, answer yes or no: ""Too bad women don’t know how to kill themselves."" Answer:",Glad they beat his open ass,Too bad women don’t know how to kill themselves, Yes.,0.0
