answer,category,comment,example1,example2,example3,example_set,label,prompt,temperature
 racist,fixed-example,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.''':",0
 racist,fixed-example,white people are shit human beings,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''white people are shit human beings''':",0
 racist,fixed-example,well it's clear now why europeans can't differ niggers and shitskins from human,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''':",0
 racist,fixed-example,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ''':",0
 racist,fixed-example,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.''':",0
 racist,fixed-example,U SUCK SHIT YOU BLACK FUCK,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''U SUCK SHIT YOU BLACK FUCK''':",0
 neither,fixed-example,"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.''':",0
 racist,fixed-example,This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.''':",0
 racist,fixed-example,The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adressðï¸ð¯ð,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adressðï¸ð¯ð''':",0
 racist,fixed-example,The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.''':",0
