,comment,category
0,You should know women's sports are a joke,sexist
3,"Women deserve to be abused, I guess.",sexist
4,Women are made for making babies and cooking dinner and nothing else!!!,sexist
14,What about a global massacre of men? Pussiezzz only girls,sexist
45,The men are turtles...idiots even in uk… get lost,sexist
55,stone throwing must be legal when against women,sexist
59,She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,sexist
72,Men race is a subordinate of women,sexist
76,lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,sexist
95,"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.",sexist
108,I don't hate women i just think that they have nothing interesting to say. None reason for existance.,sexist
126,Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,sexist
134,Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,sexist
160,All girls like you should have a pimp to guide them to successful prostitution,sexist
170,"Women are our property. The sooner they realize that, the better.",sexist
173,Women!!! Grow a pair and refuse to compete with men!!! This is asinine!,sexist
182,What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),sexist
188,The thing is women are not equal to us men and their place is the home and kitchen,sexist
194,"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.",sexist
195,smack the fat ass out of her,sexist
204,Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,sexist
215,Islam! Lets beat their feminist ass.,sexist
250,"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",sexist
251,Feminism is a very terrible disease ,sexist
264,"But women aren't people, so it's fine!",sexist
285,Waitresses are cunts,sexist
295,We have to take our power back as the superior gender. ,sexist
318,I'd get my money back if I were you. Your sex change was a complete failure.,sexist
319,"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",sexist
328,I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,sexist
336,I dare you to choke her next time. Every one of them,sexist
340,Glad they beat his open ass,sexist
345,Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,sexist
347,"Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same",sexist
353,Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,sexist
360,Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard,sexist
363,What imaginary gender are you?,sexist
365,"Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in.",sexist
376,"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter",sexist
378,The best we thing we can do is Sterilize these women and try to save the children.,sexist
382,Slow death to people like you,sexist
384,Put a woman to abuse that fat woman and don’t put a kind guy,sexist
394,Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.,sexist
403,"I hate being a man, wish I was a lady and no man on earth existed",sexist
406,"I can' stand feminist. I like men being manly and I like being treated like a lady. Dear men, if a woman asks for your help, ask if they are feminist. If they say yes, then remind them they can do everything without men and don' help them.",sexist
407,"Humans with third leg I hope to distinct soon, with much love",sexist
411,HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER....NOW THATS A POWERFUL IMAGE.,sexist
414,"Generally speaking, most women are lazy and worthless not all, but most.",sexist
420,Do the world a favor and pour some bleach into that glass,sexist
425,"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways",sexist
