,category,label,prompt,example,comment,answer,temperature,status,comment_id
0,sexist,sexist,"The following text in quotes is sexist: ""You should know women's sports are a joke"" Is the following text in quotes sexist, answer yes or no: ""If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.."" Answer:",You should know women's sports are a joke,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder., No.,0.0,unedited,0.0
1,sexist,sexist,"The following text in quotes is sexist: ""Women deserve to be abused, I guess."" Is the following text in quotes sexist, answer yes or no: ""fucking stupid feminist bitches."" Answer:","Women deserve to be abused, I guess.",fucking stupid feminist bitches, Yes.,0.0,unedited,1.0
2,sexist,sexist,"The following text in quotes is sexist: ""Women are made for making babies and cooking dinner and nothing else!!!"" Is the following text in quotes sexist, answer yes or no: ""Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.."" Answer:",Women are made for making babies and cooking dinner and nothing else!!!,Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself., No.,0.0,unedited,2.0
3,sexist,sexist,"The following text in quotes is sexist: ""What about a global massacre of men? Pussiezzz only girls"" Is the following text in quotes sexist, answer yes or no: ""If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass."" Answer:",What about a global massacre of men? Pussiezzz only girls,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass, Yes.,0.0,unedited,3.0
4,sexist,sexist,"The following text in quotes is sexist: ""The men are turtles...idiots even in uk… get lost"" Is the following text in quotes sexist, answer yes or no: ""Don't hit Women. Just fuck them and make them pregnant.."" Answer:",The men are turtles...idiots even in uk… get lost,Don't hit Women. Just fuck them and make them pregnant., Yes.,0.0,unedited,4.0
5,sexist,sexist,"The following text in quotes is sexist: ""stone throwing must be legal when against women"" Is the following text in quotes sexist, answer yes or no: ""Honestly, go fuck yourself! bitch!."" Answer:",stone throwing must be legal when against women,"Honestly, go fuck yourself! bitch!", Yes.,0.0,unedited,5.0
6,sexist,sexist,"The following text in quotes is sexist: ""She is heavily relying on him to turn the other cheek...tough talking demon infested woman."" Is the following text in quotes sexist, answer yes or no: ""Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!."" Answer:",She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!", No.,0.0,unedited,6.0
7,sexist,sexist,"The following text in quotes is sexist: ""Men race is a subordinate of women"" Is the following text in quotes sexist, answer yes or no: ""fucking slut deserved it."" Answer:",Men race is a subordinate of women,fucking slut deserved it, Yes.,0.0,unedited,7.0
8,sexist,sexist,"The following text in quotes is sexist: ""lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic ."" Is the following text in quotes sexist, answer yes or no: ""All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles."" Answer:",lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles, Yes.,0.0,unedited,8.0
9,sexist,sexist,"The following text in quotes is sexist: ""Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased."" Is the following text in quotes sexist, answer yes or no: ""We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.."" Answer:","Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.","We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.", No.,0.0,unedited,9.0
