,category,label,prompt,answer,temperature
0,sexist,sexist,"Is the following text sexist, answer yes or no.  ""You should know women's sports are a joke""  Answer:", Yes.,0.0
1,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You should use your time to arrest murderers not little kids""  Answer:", No.,0.0
2,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women deserve to be abused, I guess.""  Answer:", Yes.,0.0
3,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""you should talk with people of different races from different countries""  Answer:", Yes.,0.0
4,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women are made for making babies and cooking dinner and nothing else!!!""  Answer:", Yes.,0.0
5,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You look like you kill bees for fun""  Answer:", Yes.,0.0
6,sexist,sexist,"Is the following text sexist, answer yes or no.  ""What about a global massacre of men? Pussiezzz only girls""  Answer:", Yes.,0.0
7,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You look like Harry Potter if he stayed under the stairs""  Answer:", Yes.,0.0
8,sexist,sexist,"Is the following text sexist, answer yes or no.  ""We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.""  Answer:", Yes.,0.0
9,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You look kinda dead inside, you parents must not haved loved you. ""  Answer:", Yes.,0.0
10,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The men are turtles...idiots even in uk… get lost""  Answer:", Yes.,0.0
11,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You have the grace and composure of a rabid hyena""  Answer:", Yes.,0.0
12,sexist,sexist,"Is the following text sexist, answer yes or no.  ""That girl still need a good ass whooping, stupid ass bitch!!""  Answer:", Yes.,0.0
13,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You deserve way more subscribers . The shit you say is fucking gold.""  Answer:", Yes.,0.0
14,sexist,sexist,"Is the following text sexist, answer yes or no.  ""stone throwing must be legal when against women""  Answer:", Yes.,0.0
15,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You can see the country is fertile and green.  just need the right governance""  Answer:", Yes.,0.0
16,sexist,sexist,"Is the following text sexist, answer yes or no.  ""She is heavily relying on him to turn the other cheek...tough talking demon infested woman.""  Answer:", Yes.,0.0
17,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""you are a great brother to abbie, that family is changing the world! ""  Answer:", No.,0.0
18,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Really, I hope she get raped in the future. Raping women should be legal I think""  Answer:", Yes.,0.0
19,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You are a brave man.........for letting them keep the comments enabled""  Answer:", Yes.,0.0
20,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Men race is a subordinate of women""  Answer:", Yes.,0.0
21,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""You all should listen to Bill Warner PhD.....Foremost expert on Islam""  Answer:", Yes.,0.0
22,sexist,sexist,"Is the following text sexist, answer yes or no.  ""lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .""  Answer:", Yes.,0.0
23,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!""  Answer:", Yes.,0.0
24,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.""  Answer:", Yes.,0.0
25,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wtf I thought you had only one sibling""  Answer:", Yes.,0.0
26,sexist,sexist,"Is the following text sexist, answer yes or no.  ""If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.""  Answer:", Yes.,0.0
