,comment,category,status,comment_id
16,well it's clear now why europeans can't differ niggers and shitskins from human,racist,unedited,0
20,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",racist,unedited,1
44,The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.,racist,unedited,2
74,Look at these gay ass niggas. lol. Acting like they some bitches.,racist,unedited,3
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,unedited,4
122,Fuck off niggers WV is full,racist,unedited,5
123,"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",racist,unedited,6
137,Die fucking arab dude sand niggas,racist,unedited,7
139,"Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",racist,unedited,8
281,Why are niggers superior athletically to all other races?,racist,unedited,9
346,"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",racist,unedited,10
355,"A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",racist,unedited,11
395,It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.,racist,unedited,12
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,racist,unedited,13
56,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,racist,unedited,14
68,Only black lives matter. fuck white people the cancer of the earth,racist,unedited,15
93,Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon,racist,unedited,16
118,fucking monkeys kill them all,racist,unedited,17
282,Those black people are fucking pale,racist,unedited,18
356,“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.,racist,unedited,19
66,phuck white rasist ass people,racist,unedited,20
9,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,racist,unedited,21
30,"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.",racist,unedited,22
152,"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",racist,unedited,23
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,racist,unedited,24
65,Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,racist,unedited,25
214,it takes a fat black bitch to say something super stupid,racist,unedited,26
16,well it's clear now why europeans can't differ n1ggers and shitskins from human,racist,edited,0
20,"we take everyone, sudanese n1ggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like n1ggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",racist,edited,1
44,The only thing more repulsive than a n1gger is a n1gger faggot. Self-hating whites shower images of cross-dressed n1ggers with praise because the modern left fetishizes all forms of depravity.,racist,edited,2
74,Look at these gay ass n1ggas. lol. Acting like they some bitches.,racist,edited,3
121,Fuck these generate vodka n1ggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
122,Fuck off n1ggers WV is full,racist,edited,5
