,comment,category
7,why does that african american monkey hold gun like that?,racist
12,white people are shit human beings,racist
19,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",racist
24,U SUCK SHIT YOU BLACK FUCK,racist
35,This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.,racist
42,The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç,racist
54,"stupid black women,if i were in that restaurant, i would had whipped their ass",racist
62,"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.",racist
82,Kill every white people mercylessly.,racist
83,Kill ALL black people.,racist
84,Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS,racist
146,Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.,racist
151,Asians have more fats so they are yellow.  So fat people are yellow?...,racist
161,After all this time the african americans are the people with most crime rate,racist
164,Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.,racist
169,Ugly white girls and white dudes would not get away with that.,racist
174,"Men can see beauty, so they don't want to sleep with black women or make goblin babies.",racist
186,"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",racist
187,their dark coloured race doesn't mean shit,racist
198,Racist ass white ass people,racist
199,Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,racist
206,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,racist
210,"kneel down, white boy. its the era of brown people now",racist
221,If only he was black....He would be literally be behind bars faster than you can even imagine,racist
226,"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",racist
236,"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",racist
243,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE,racist
245,FUCKING NIGGER GO BACK TO AFRICA,racist
267,"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",racist
270,Aren’t you ashamed about your body colour?,racist
273,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,racist
278,stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,racist
302,The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils,racist
305,That skin colour is the funniest one in combination with your eyes is perfect stupid,racist
312,lowlife black animals,racist
321,"I would pull you over for your race, if I was a cop.",racist
325,"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",racist
327,"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",racist
329,"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...",racist
335,I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.,racist
362,Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids,racist
367,"this is why indian subs should only count 0,5",racist
373,The world before white people. 1 word 8 letters. PEACEFUL,racist
382,Slow death to people like you,racist
386,Pale cancer! Back to your west pacific ocean,racist
404,I guess God is white.... ,racist
413,Go bleach yourself black pussy doll and then come talk to me,racist
426,"Believe me, whites are superior in every way to nips and Western countries are prosperous specifically because of those racial differences.",racist
432,(((They))) will be chased out of every white country and hunted down like the animals they are for their evil schemes and plots,racist
