,comment,category,status,comment_id
96,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,sexist,unedited,0
117,fucking stupid feminist bitches,sexist,unedited,1
193,Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.,sexist,unedited,2
219,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,sexist,unedited,3
256,Don't hit Women. Just fuck them and make them pregnant.,sexist,unedited,4
338,"Honestly, go fuck yourself! bitch!",sexist,unedited,5
389,"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!",sexist,unedited,6
415,fucking slut deserved it,sexist,unedited,7
428,All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles,sexist,unedited,8
22,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",sexist,unedited,9
101,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N,sexist,unedited,10
135,Do women born to be whores? Ot they develop it later,sexist,unedited,11
189,"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!",sexist,unedited,12
225,I wish HIV to your butthole male whore,sexist,unedited,13
354,"All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",sexist,unedited,14
379,That whore has better eyelashes than any other women,sexist,unedited,15
184,Too bad women don’t know how to kill themselves,sexist,unedited,16
190,"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?",sexist,unedited,17
307,She then suggests that the men who commented on her video should be killed.,sexist,unedited,18
366,this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.,sexist,unedited,19
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,sexist,unedited,20
399,If only there was a way to get children without having to get women pregnant we had them all ready killed,sexist,unedited,21
423,Come and kill my wife,sexist,unedited,22
64,"Really, I hope she get raped in the future. Raping women should be legal I think",sexist,unedited,23
286,"Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!",sexist,unedited,24
47,"That girl still need a good ass whooping, stupid ass bitch!!",sexist,unedited,25
214,it takes a fat black bitch to say something super stupid,sexist,unedited,26
217,Is this world filled by those stupid female bitches?,sexist,unedited,27
253,fat bitch....she need that black cucumber up her tight u know what....lmfaooo,sexist,unedited,28
299,This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,sexist,unedited,29
330,I like big thick bitches to serve me my cocktail. They are good only for such things,sexist,unedited,30
333,I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,sexist,unedited,31
352,Arrest that fat ass bitch!,sexist,unedited,32
377,the fat bitches are annoying as hell,sexist,unedited,33
96,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,sexist,edited,0
117,fucking stupid feminist bitches,sexist,edited,1
193,Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.,sexist,edited,2
219,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,sexist,edited,3
256,Don't hit Women. Just fuck them and make them pregnant.,sexist,edited,4
338,"Honestly, go fuck yourself! bitch!",sexist,edited,5
389,"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!",sexist,edited,6
415,fucking slut deserved it,sexist,edited,7
428,All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles,sexist,edited,8
22,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",sexist,edited,9
101,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N,sexist,edited,10
135,Do women born to be whores? Ot they develop it later,sexist,edited,11
189,"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!",sexist,edited,12
225,I wish HIV to your butthole male whore,sexist,edited,13
354,"All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",sexist,edited,14
379,That whore has better eyelashes than any other women,sexist,edited,15
184,Too bad women don’t know how to kill themselves,sexist,edited,16
190,"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?",sexist,edited,17
307,She then suggests that the men who commented on her video should be killed.,sexist,edited,18
366,this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.,sexist,edited,19
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,sexist,edited,20
399,If only there was a way to get children without having to get women pregnant we had them all ready killed,sexist,edited,21
423,Come and kill my wife,sexist,edited,22
64,"Really, I hope she get raped in the future. Raping women should be legal I think",sexist,edited,23
286,"Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!",sexist,edited,24
47,"That girl still need a good ass whooping, stupid ass bitch!!",sexist,edited,25
214,it takes a fat black bitch to say something super stupid,sexist,edited,26
217,Is this world filled by those stupid female bitches?,sexist,edited,27
253,fat bitch....she need that black cucumber up her tight u know what....lmfaooo,sexist,edited,28
299,This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,sexist,edited,29
330,I like big thick bitches to serve me my cocktail. They are good only for such things,sexist,edited,30
333,I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,sexist,edited,31
352,Arrest that fat ass bitch!,sexist,edited,32
377,the fat bitches are annoying as hell,sexist,edited,33
